State,House,S.No.,MP Name,Constituency,District,Total Entitlement (in Crore),"Total GOI Release 
 (in Crore)",Total Release Pending (in Crore),"UnSanction Balance 
(in Crore)","UnSpent Balance
(in Crore)","Last Inst. 
No.",Last Inst. Yr.,"Last Release 
Date","Last Release
Amount
(in Crore)",Column16,Pending Inst. No & Year.,Reasons for not Release
Maharashtra,null,20,Shri Kapil Moreshwar Patil,BHIWANDI,THANE,17,9.5,7.5,0.51,2.51,1,2022-2023,30-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,21,Shri Krupal Balaji Tumane,RAMTEK(SC),NAGPUR,17,7,10,-3.75,0.14,1,2021-2022,20-09-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,22,Shri Manoj Kishorbhai Kotak,MUMBAI NORTH EAST,MUMBAI SUBURBAN,17,7,10,-5.09,0.17,1,2021-2022,08-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Maharashtra,null,23,Shri Nitin Jairam Gadkari,NAGPUR,NAGPUR,17,7,10,-5.21,0.35,1,2021-2022,27-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,24,Shri Omprakash Bhupalsinh alias Pawan Rajenimbalkar,OSMANABAD,OSMANABAD,17,2.5,14.5,-0.79,0.9,1,2019-2020,06-02-2020,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2019-2020,2 / 2022-2023",
Maharashtra,null,25,Shri Prataprao Govindrao Patil Chikhalikar,NANDED,NANDED,17,7,10,-1.89,2.15,1,2021-2022,30-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,26,Shri Prataprao Jadhav,BULDHANA,BULDANA,17,5,12,-6.96,0.35,2,2019-2020,03-11-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,27,Shri Rahul Ramesh Shewale,MUMBAI SOUTH CENTRAL,MUMBAI SUBURBAN,17,7,10,-4.97,2.83,1,2021-2022,08-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,28,Shri Rajan Baburao Vichare,THANE,THANE,17,7,10,-2.71,1.83,1,2021-2022,09-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,29,Shri Rajendra Dhedya Gavit,PALGHAR(ST),Palghar,19.5,9.5,10,-7.26,0.81,2,2017-2018,14-10-2022,2.5,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,30,Shri Ramdas Chandrabhanji Tadas,WARDHA,WARDHA,17,9.5,7.5,-2.24,1.61,1,2022-2023,30-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,31,Shri Ranjeetsinha Hindurao Naik Nimbalkar,MADHA,SATARA,17,7,10,-1.64,1.79,1,2021-2022,07-02-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,32,Shri Raosaheb Patil Danve,JALNA,JALNA,17,5,12,-3.57,1.49,2,2019-2020,29-09-2022,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,33,Shri Sadashiv Kisan Lokhande,SHIRDI(SC),AHMADNAGAR,17,9.5,7.5,-3.05,1.81,1,2022-2023,07-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,34,Shri Sanjay Haribhau Jadhav,PARBHANI,PARBHANI,17,7,10,-1.06,2.06,1,2021-2022,07-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Maharashtra,null,35,Shri Sanjay Sadashivrao Mandlik,KOLHAPUR,KOLHAPUR,17,7,10,-6.87,0.03,1,2021-2022,22-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,36,Shri Sanjay Shamrao Dhotre,AKOLA,AKOLA,17,9.5,7.5,-2.23,0.56,1,2022-2023,15-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,37,Shri Sanjay(Kaka) Ramchandra Patil,SANGLI,SANGLI,17,5,12,-1.59,0.26,2,2019-2020,29-08-2022,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,38,Shri Shriniwas Dadasaheb Patil,SATARA,SATARA,34,5,29,-10.1,0,1,2019-2020,29-03-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,39,Shri Shrirang Appa Barne,MAVAL,PUNE,17,7,10,-7.26,0.84,1,2021-2022,14-10-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,40,Shri Sudhakar Tukaram Shrangre,LATUR(SC),LATUR,17,9.5,7.5,-6.39,0.02,1,2022-2023,21-10-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,41,Shri Sunil Baburao Mendhe,BHANDARA-GONDIYA,GONDIA,17,5,12,-7.01,2.54,2,2019-2020,26-03-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Provisional Utilisation Certificate Pending.
Maharashtra,null,42,Shri Sunil Dattatray Tatkare,RAIGAD,RAIGAD,17,7,10,-4.73,3.63,1,2021-2022,04-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Maharashtra,null,43,Shri Unmesh Bhaiyyasaheb Patil,JALGAON,JALGAON,17,7,10,-1.83,2.08,1,2021-2022,29-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Maharashtra,null,44,Shri Vinayak Bhaurao Raut,RATNAGIRI-SINDHUDURG,RATNAGIRI,17,9.5,7.5,-5.78,2.58,1,2022-2023,30-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,45,Smt Navneet Ravi Rana,AMRAVATI(SC),AMRAVATI,17,9.5,7.5,-1.54,1.97,1,2022-2023,07-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,46,Smt. Poonam (Mahajan) Vajendla Rao,MUMBAI NORTH-CENTRAL,MUMBAI SUBURBAN,17,9.5,7.5,-2.64,1.47,1,2022-2023,28-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,47,Smt. Raksha Nikhil Khadse,RAVER,JALGAON,17,7,10,0.35,1.33,1,2021-2022,07-03-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,48,Smt. Supriya Sadanand Sule,BARAMATI,PUNE,17,9.5,7.5,-4.28,1.92,1,2022-2023,29-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Manipur,8,1,Dr. Lorho S. Pfoze,OUTER MANIPUR(ST),SENAPATI,17,9.5,7.5,0.04,0.05,1,2022-2023,27-09-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Manipur,null,2,Dr. Ranjan Singh Rajkumar,INNER MANIPUR,IMPHAL EAST,17,7,10,0.14,0.14,1,2021-2022,29-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Meghalaya,8,1,Kum. Agatha K. Sangma,TURA,WEST GARO HILLS,17,7,10,0.38,0.55,1,2021-2022,11-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Meghalaya,null,2,Shri Vincent H Pala,SHILLONG,EAST KHASI HILLS,17,9.5,7.5,0.31,0.67,1,2022-2023,30-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Mizoram,8,1,SHRI. C Lalrosanga,MIZORAM (ST),AIZAWL,17,9.5,7.5,0.04,0.22,1,2022-2023,09-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Nagaland,8,1,Shri Tokheho Yepthomi,NAGALAND,DIMAPUR,17,12,5,0.03,0,2,2022-2023,28-10-2022,2.5,null,1 / 2023-2024,
Odisha,8,1,Dr Rajashree Mallick,JAGATSINGHPUR(SC),CUTTACK,17,7,10,0.96,2.83,1,2021-2022,30-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Odisha,null,2,Ms Chandrani Murmu,KEONJHAR(ST),KEONJHAR,17,7,10,0.97,2.3,1,2021-2022,19-01-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Odisha,null,3,Shri Achyutananda Samanta,KANDHAMAL,KANDHAMAL,17,9.5,7.5,0.87,1.56,1,2022-2023,20-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Odisha,null,4,Shri Anubhav Mohanty,KENDRAPARA,KENDRAPARA,17,9.5,7.5,0.07,2.18,1,2022-2023,23-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Odisha,null,5,Shri Basanta Kumar Panda,KALAHANDI,KALAHANDI,17,7,10,0.25,1.2,1,2021-2022,13-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Odisha,null,6,Shri Bhartruhari Mahtab,CUTTACK,CUTTACK,17,9.5,7.5,0.54,2.79,1,2022-2023,30-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Odisha,null,7,Shri Chandra Sekhar Sahu,BERHAMPUR,GANJAM,17,9.5,7.5,0.72,2.62,1,2022-2023,30-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Odisha,null,8,Shri Jual Oram,SUNDARGARH (ST),SUNDARGARH,17,7,10,0.19,1.61,1,2021-2022,23-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Odisha,null,9,Shri Mahesh Sahoo,DHENKANAL,DHENKANAL,17,9.5,7.5,-0.36,0.9,1,2022-2023,28-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Odisha,null,10,Shri Nitesh Ganga Deb,SAMBALPUR,SAMBALPUR,17,9.5,7.5,0.05,2.46,1,2022-2023,10-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Odisha,null,11,Shri Pinaki Misra,PURI,PURI,17,7,10,0.81,1.12,1,2021-2022,23-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Odisha,null,12,Shri Pratap Chandra Sarangi,BALASORE,BALASORE,17,7,10,0.09,2.81,1,2021-2022,23-01-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Odisha,null,13,Shri Ramesh Chandra Majhi,NABARANGPUR(ST),NABARANGPUR,17,9.5,7.5,0.36,1.86,1,2022-2023,30-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Odisha,null,14,Shri Saptagiri Sankar Ulaka,KORAPUT(ST),RAYAGADA,17,9.5,7.5,0.67,0.76,1,2022-2023,17-10-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Odisha,null,15,Shri Suresh Pujari,BARGARH,BARAGARH,17,9.5,7.5,0.01,2.12,1,2022-2023,31-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Odisha,null,16,SHRI. Bishweswar Tudu,MAYURBHANJ (ST),MAYURBHANJ,17,9.5,7.5,0.21,2.65,1,2022-2023,30-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Odisha,null,17,Smt. Aparajita Sarangi,BHUBANESWAR,KHORDHA,17,9.5,7.5,0.76,0.98,1,2022-2023,28-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Odisha,null,18,Smt. Manjulata Mandal,BHADRAK(SC),BHADRAK,17,12,5,0.01,2.19,2,2022-2023,17-01-2023,2.5,null,1 / 2023-2024,
Odisha,null,19,Smt. Pramila Bisoyi,ASKA,GANJAM,17,9.5,7.5,0.1,2.8,1,2022-2023,03-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Odisha,null,20,Smt. Sangeeta Kumari Singh Deo,BOLANGIR,BOLANGIR,17,5,12,-3.64,2.89,2,2019-2020,01-03-2023,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Odisha,null,21,Smt. Sarmistha Sethi,JAJPUR(SC),JAJPUR,17,9.5,7.5,0.07,2.05,1,2022-2023,03-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Puducherry,8,1,Shri Vaithilingam Ve.,PONDICHERRY,PONDICHERRY,17,7,10,-4.84,1.94,1,2021-2022,03-01-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Punjab,8,1,Dr. Amar Singh,FATEHGARH SAHIB(SC),FATEHGARH SAHIB,17,9.5,7.5,0.12,2.78,1,2022-2023,16-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Punjab,null,2,Shri Gurjeet Singh Aujla,AMRITSAR,AMRITSAR,17,12,5,0.93,1.86,2,2022-2023,31-03-2023,2.5,null,1 / 2023-2024,
Punjab,null,3,Shri Jasbir Singh Gill,KHADOOR SAHIB,TARN TARAN,17,9.5,7.5,0.01,1.94,1,2022-2023,14-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Punjab,null,4,Shri Manish Tewari,ANANDPUR SAHIB,RUPNAGAR,17,9.5,7.5,0.75,2.87,1,2022-2023,09-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Punjab,null,5,Shri Ravneet Singh,LUDHIANA,LUDHIANA,17,7,10,0.68,2.71,1,2021-2022,21-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Punjab,null,6,Shri Santokh Singh Chaudhary,JALANDHAR(SC),JALANDHAR,17,7,10,2.39,4.88,1,2021-2022,27-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Punjab,null,7,Shri Simranjit Singh Mann,SANGRUR,SANGRUR,20,2.5,17.5,0.91,2.25,1,2022-2023,26-08-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Punjab,null,8,Shri Som Parkash,HOSHIARPUR(SC),HOSHIARPUR,17,7,10,-0.36,1.57,1,2021-2022,18-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Punjab,null,9,Shri Sukhbir Singh Badal,FIROZPUR,Fazilka,17,9.5,7.5,0.12,1.73,1,2022-2023,24-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Punjab,null,10,Shri Sunny Deol,GURDASPUR,GURDASPUR,17,7,10,0.06,1.37,1,2021-2022,14-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Punjab,null,11,SHRI. Mohammad Sadique,FARIDKOT(SC),FARIDKOT,17,9.5,7.5,0.63,2.89,1,2022-2023,07-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Punjab,null,12,Smt Harsimrat Kaur Badal,BHATINDA,BHATINDA,17,7,10,0.91,1.76,1,2021-2022,21-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Punjab,null,13,Smt. Preneet Kaur,PATIALA,PATIALA,17,7,10,0.02,0.58,1,2021-2022,10-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Rajasthan,8,1,Dr. Manoj Rajoria,KARAULI-DHOLPUR(SC),KARAULI,19.5,5,14.5,1.36,2.95,2,2019-2020,22-03-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,1 / 2018-2019,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Rajasthan,null,2,Ms. Diya Kumari,RAJSAMAND,RAJSAMAND,17,7,10,0.85,0.88,1,2021-2022,23-08-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Rajasthan,null,3,Shri Arjun Ram Meghwal,BIKANER(SC),BIKANER,17,9.5,7.5,0.82,4.12,1,2022-2023,24-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,4,Shri Arjunlal Meena,UDAIPUR(ST),UDAIPUR,17,7,10,0.02,0.85,1,2021-2022,02-01-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,5,Shri Balak Nath,ALWAR,ALWAR,17,12,5,0.04,2.42,2,2022-2023,30-03-2023,2.5,null,1 / 2023-2024,
Rajasthan,null,6,Shri Bhagirath Chaudhary,AJMER,AJMER,17,7,10,-2.51,2.36,1,2021-2022,28-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Rajasthan,null,7,Shri Chandra Prakash Joshi,CHITTORGARH,CHITTORGARH,17,7,10,0.26,1.33,1,2021-2022,25-01-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,8,Shri Devji Mansingram Patel,JALORE,JALORE,17,9.5,7.5,0.53,0.53,1,2022-2023,21-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,9,Shri Dushyant Singh,JHALAWAR-BARAN,JHALAWAR,17,5,12,0.08,2.14,2,2019-2020,24-03-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Rajasthan,null,10,Shri Gajendra Singh Shekhawat,JODHPUR,JODHPUR,22,7,15,0.36,1.41,1,2021-2022,18-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,1 / 2018-2019,2 / 2022-2023",
Rajasthan,null,11,Shri Hanuman Beniwal,NAGAUR,NAGAUR,17,7,10,-1.59,0.14,1,2021-2022,13-09-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,12,Shri Kanakmal Katara,BANSWARA(ST),BANSWARA,17,9.5,7.5,-3.77,2.3,1,2022-2023,24-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,13,Shri Narendra Kumar,JHUNJHUNU,JHUNJHUNU,17,9.5,7.5,-1.12,2.33,1,2022-2023,16-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,14,Shri Nihal Chand Chauhan,GANGANAGAR(SC),SRIGANGANAGAR,17,7,10,-0.28,2.27,1,2021-2022,03-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Rajasthan,null,15,Shri Om Birla,KOTA,KOTA,19.5,5,14.5,-0.39,2.93,2,2019-2020,13-09-2022,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2018-2019,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Rajasthan,null,16,Shri P.P. Chaudhary,PALI,PALI,17,7,10,-0.66,1.65,1,2021-2022,02-08-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Rajasthan,null,17,Shri Rahul Kaswan,CHURU,CHURU,17,9.5,7.5,0.07,2.45,1,2022-2023,15-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,18,Shri Rajyavardhan Singh Rathore,JAIPUR RURAL,JAIPUR,17,5,12,-1.84,1.5,2,2019-2020,28-03-2023,2.5,null,"1 / 2022-2023,1 / 2021-2022,1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,19,Shri Ramcharan Bohra,JAIPUR,JAIPUR,17,7,10,-0.67,1.56,1,2021-2022,17-01-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,20,Shri Subhash Chandra Baheria,BHILWARA,BHILWARA,17,5,12,-0.97,0.06,2,2019-2020,14-06-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Rajasthan,null,21,Shri Sukhbir Singh Jaunapuria,TONK-SAWAI MADHOPUR,TONK,17,7,10,0.14,2.92,1,2021-2022,24-01-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,22,Shri Sumedhanand Saraswati,SIKAR,SIKAR,17,9.5,7.5,0.33,1.69,1,2022-2023,02-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,23,SHRI. Kailash Choudhary,BARMER,BARMER,17,9.5,7.5,-0.7,1.42,1,2022-2023,13-09-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Rajasthan,null,24,Smt Ranjeeta Koli,BHARATPUR(SC),BHARATPUR,17,7,10,-0.11,1.43,1,2021-2022,24-02-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Rajasthan,null,25,Smt. Jaskaur Meena,DAUSA(ST),DAUSA,17,7,10,0.02,0.08,1,2021-2022,16-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Sikkim,8,1,Shri Indra Hang Subba,SIKKIM,EAST DISTRICT,17,7,10,0.18,0.18,1,2021-2022,21-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,8,1,Dr A Chellakumar,KRISHNAGIRI,KRISHNAGIRI,17,7,10,-5.2,2.73,1,2021-2022,15-03-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,2,Dr K Jayakumar,TIRUVALLUR(SC),TIRUVALLUR,17,5,12,-7.07,0.71,2,2019-2020,06-07-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,3,Dr T. R. Paarivendhar,PERAMBALUR,PERAMBALUR,17,7,10,-4.36,1.08,1,2021-2022,21-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,4,Dr. M.K. Vishnu Prasad,ARANI,TIRUVANNAMALAI,17,12,5,-3.98,0.59,2,2022-2023,17-01-2023,2.5,null,1 / 2023-2024,
Tamil Nadu,null,5,Dr. V. Kalanidhi,CHENNAI NORTH,CHENNAI,17,5,12,-5.81,0.03,2,2019-2020,14-06-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,6,Shri A. Ganeshamurthi,ERODE,ERODE,17,7,10,-5.28,0.17,1,2021-2022,03-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,7,Shri A.K.P. Chinraj,NAMAKKAL,NAMAKKAL,17,7,10,-4.74,2.83,1,2021-2022,14-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,8,Shri Andimuthu Raja,NILGIRIS(SC),NILGIRIS,17,7,10,-3.69,0.41,1,2021-2022,28-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,9,Shri C.N. Annadurai,TIRUVANNAMALAI,TIRUVANNAMALAI,17,12,5,-4.75,1.48,2,2022-2023,20-01-2023,2.5,null,1 / 2023-2024,
Tamil Nadu,null,10,Shri Dhanush M Kumar,TENKASI(SC),Tenkasi,17,5,12,-6.01,0.28,2,2019-2020,23-03-2022,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,11,Shri DNV Senthilkumar. S.,DHARAMAPURI,DHARMAPURI,17,9.5,7.5,-0.37,2.36,1,2022-2023,15-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,12,Shri Ganesan Selvam,KANCHEEPURAM(SC),KANCHIPURAM,17,9.5,7.5,-5.2,0.59,1,2022-2023,15-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,13,Shri Gautham Sigamani Pon,KALLAKURICHI,KALLAKURICHI,17,7,10,-4.68,1.16,1,2021-2022,21-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,14,Shri K. Shanmuga Sundaram,POLLACHI,COIMBATORE,17,7,10,-2.59,0.44,1,2021-2022,21-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,15,Shri K. Subbarayan,TIRUPPUR,TIRUPUR,17,7,10,-2.97,0.9,1,2021-2022,03-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,16,Shri Kani K. Navas,RAMANATHAPURAM,RAMANATHAPURAM,17,5,12,-6.2,0.71,2,2019-2020,06-08-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
